id,sender,height,amount,claim_action
1,evmos16t3l6qj8s48cu87yrpfuedevt7u2fl37h95raj,265912,28632956310199211658aevmos,ACTION_DELEGATE
2,evmos1mz8ewhmyk62aufnlhwshc9tc5746w9dqltp9yc,265915,14035326910944067085aevmos,ACTION_EVM
3,evmos1w54pn56g8xghpata8wd7s85z8hqtvvdzz9577e,265941,27027883655570998312aevmos,ACTION_DELEGATE
4,evmos16t3l6qj8s48cu87yrpfuedevt7u2fl37h95raj,265948,28631442400273982187aevmos,ACTION_VOTE
5,evmos1r0mjyxpv2ts8tuaygynglazljhx8mmec2xqld0,265993,8667994367712388796aevmos,ACTION_VOTE
6,evmos1r0mjyxpv2ts8tuaygynglazljhx8mmec2xqld0,266012,8667755632527791975aevmos,ACTION_DELEGATE
7,evmos1sp9frqwep52chwavv3xd776myy8gyyvkp6n53z,266032,80570659102074511777aevmos,ACTION_EVM
8,evmos15lhk0pwqrrz8v4qugwka7wm24agn5ge90079ua,266034,9711517915114003379aevmos,ACTION_VOTE
9,evmos1r0mjyxpv2ts8tuaygynglazljhx8mmec2xqld0,266036,8667452235912946351aevmos,ACTION_EVM
10,evmos1at0vercsfthcdxlgn6v0e09u4fssm4y4xtsxfq,266037,19248608262030833722aevmos,ACTION_VOTE
11,evmos14r62ju08rwagy52wv6g82vnv02fraf4c7mgrvl,266037,2755926250790426623aevmos,ACTION_VOTE
12,evmos1at0vercsfthcdxlgn6v0e09u4fssm4y4xtsxfq,266055,19248079633633930084aevmos,ACTION_DELEGATE
13,evmos14r62ju08rwagy52wv6g82vnv02fraf4c7mgrvl,266058,2755838504137594031aevmos,ACTION_DELEGATE
14,evmos15lhk0pwqrrz8v4qugwka7wm24agn5ge90079ua,266065,9711069904089128017aevmos,ACTION_DELEGATE
15,evmos1f6sk2ar0h3xa5emn5r8mhsguugy80syd0hnw08,266082,2415441607490143569aevmos,ACTION_VOTE
16,evmos1aam9vayhfcr0m6g2ckvhn2ds25ngnk0wg4xrem,266089,1394350347895946096aevmos,ACTION_EVM
17,evmos14pmyhwedtnmls3p8s302224mxn9f7gr6gqe2r7,266091,154045343273025914602aevmos,ACTION_EVM
18,evmos1at0vercsfthcdxlgn6v0e09u4fssm4y4xtsxfq,266102,19246720938221123722aevmos,ACTION_EVM
19,evmos1v3xlgsmt7k4vaetzs5qmwp0n6hfad4sp0yhm4k,266107,1394312711936119763aevmos,ACTION_EVM
20,evmos1ad7a6k3edrwyzzgh9er70aeejsd5maz3se2378,266109,1394307096954540419aevmos,ACTION_EVM
21,evmos1f6sk2ar0h3xa5emn5r8mhsguugy80syd0hnw08,266112,2415329640505794434aevmos,ACTION_DELEGATE
22,evmos1f74llqffl8f3n8vckj3gax3d8slz6va98n8vx8,266114,5888431428651898876aevmos,ACTION_EVM
23,evmos12935r0zx49krcakwx9mc2dw7k79qgmyesl4v8d,266123,1394279188775582678aevmos,ACTION_VOTE
24,evmos15lhk0pwqrrz8v4qugwka7wm24agn5ge90079ua,266129,9710137042376311407aevmos,ACTION_EVM
25,evmos14r62ju08rwagy52wv6g82vnv02fraf4c7mgrvl,266136,2755517733062990893aevmos,ACTION_EVM
26,evmos1f6sk2ar0h3xa5emn5r8mhsguugy80syd0hnw08,266140,2415231985124439482aevmos,ACTION_EVM
27,evmos12935r0zx49krcakwx9mc2dw7k79qgmyesl4v8d,266141,1394242858422135453aevmos,ACTION_DELEGATE
28,evmos12935r0zx49krcakwx9mc2dw7k79qgmyesl4v8d,266170,1394183261957487488aevmos,ACTION_EVM
29,evmos1pc4jjsywga2k0mh56rnjny2l9gu9yxzyprxfp7,266180,5479824111404879554aevmos,ACTION_EVM
30,evmos1fxeyqspuvegfzhauzjlm6glvegplv74nv3k0ey,266223,6451416693232973018aevmos,ACTION_VOTE
31,evmos1nshpzz56t2msd4x85qmsqj8e5f3runwwzl8ht5,266260,3008442961189007983aevmos,ACTION_VOTE
32,evmos1fxeyqspuvegfzhauzjlm6glvegplv74nv3k0ey,266283,6450838556378230172aevmos,ACTION_DELEGATE
33,evmos1nshpzz56t2msd4x85qmsqj8e5f3runwwzl8ht5,266288,3008318997838199325aevmos,ACTION_DELEGATE
34,evmos1uy2zch9wld426mn3k95kne82pc7zr2nh4hjt7s,266297,15575993086018820373aevmos,ACTION_EVM
35,evmos1pg3kpmex6lu2mufdzpmpzpnazg42nht0tfaut9,266299,3503459195937108439aevmos,ACTION_DELEGATE
36,evmos1fuc3mux9dvrpvhs6xg0pydqq3r3qj32d6gsf9e,266299,83790567777464121645aevmos,ACTION_EVM
37,evmos1ud9jagadx7tfyeetzhg75kghxd30mzx5xkcpkr,266302,3317373526567857007aevmos,ACTION_VOTE
38,evmos1havekex67ngw39yzhrwxwet048t0xttayldax4,266306,3316010700387762714aevmos,ACTION_VOTE
39,evmos1xscpqsyt4pes87rrzvnjj9uw9j8vut7j9adwpz,266315,3494396073853729362aevmos,ACTION_VOTE
40,evmos1g0d4a2q993ps82wyfq76xeql4e6n6dg54ufdc0,266315,4175127146530534917aevmos,ACTION_VOTE
41,evmos16g5w74c8n7xcdjjeynf4vt0f6ht9wn8epvrf78,266325,1393865168326002677aevmos,ACTION_EVM
42,evmos19rx37rd2u74ww55k9c0cct7j8959kd476qg4z6,266328,3797400812983349231aevmos,ACTION_VOTE
43,evmos1fxeyqspuvegfzhauzjlm6glvegplv74nv3k0ey,266331,6450388482898324473aevmos,ACTION_EVM
44,evmos1frrlv40a0j6ckrrrmvu8d5x3hqv3vhka9kqc66,266344,3177419216921056499aevmos,ACTION_VOTE
45,evmos1uvys25spfml5uvsr4tjke7rwhkl2yf43wlr8zu,266349,4341804552181568480aevmos,ACTION_VOTE
46,evmos1g5zpvt4w0gly3gy4nvlz69quzr6afm6guff8fj,266356,4113987971615937315aevmos,ACTION_VOTE
47,evmos1lw8wfxd84lkdjt26w7rdd6texat8wwpc4gyxd4,266362,3788181691443305544aevmos,ACTION_VOTE
48,evmos14nmwqtyzngvgdj625859vnvfv2kgps9k8sph4k,266364,3538710155957282496aevmos,ACTION_VOTE
49,evmos1442dns7pjmcmjmcw8ztzzff68rsndnvas5ca4d,266367,4887678035219108682aevmos,ACTION_VOTE
50,evmos1xv20xjk0nuh6kkwyunvu7n9cta4kv47xdesjmj,266376,4015763200809169315aevmos,ACTION_VOTE
51,evmos1599vwdjpczgyjfvts050t87shxp8g0c6fal3h6,266380,3547326506016286470aevmos,ACTION_VOTE
52,evmos1kk3aad92m3qaqpxcjg7zgsht4hd2pz7spqlvee,266390,5322656714614638417aevmos,ACTION_VOTE
53,evmos1ng2ezfekkpmp9k8k5faxafsx0ajx2njj63f5gw,266398,1393715583202453844aevmos,ACTION_DELEGATE
54,evmos189cxtllv8yk6rsas6y9qe8lfgmkvj9vpgtknny,266904,6188618773763132490aevmos,ACTION_VOTE
55,evmos1l8gfq7nxv4krl0mh8ky72mz0cxku0sccj9dv8k,266910,7791405519732997287aevmos,ACTION_EVM
56,evmos189cxtllv8yk6rsas6y9qe8lfgmkvj9vpgtknny,266937,6188318918331863757aevmos,ACTION_DELEGATE
57,evmos189cxtllv8yk6rsas6y9qe8lfgmkvj9vpgtknny,266962,6188088115363831956aevmos,ACTION_EVM
58,evmos1l8gfq7nxv4krl0mh8ky72mz0cxku0sccj9dv8k,266969,7790735393788263950aevmos,ACTION_VOTE
59,evmos1e6wl54v4ks7d0qqd4smg86lyqejcy653vdn0ts,266987,4948634325752571917aevmos,ACTION_EVM
60,evmos1l8gfq7nxv4krl0mh8ky72mz0cxku0sccj9dv8k,267002,7790357165753864841aevmos,ACTION_DELEGATE
61,evmos1zpc93cfx9s8jp44rhx6f0v709ml9j8t574ej35,267011,8594276005435220325aevmos,ACTION_VOTE
62,evmos18ffp552zd4zxulwu9nqm6nahku45q7qx0g6lm7,267015,4177257327964524743aevmos,ACTION_EVM
63,evmos1gjmd5n2ludr4fhtt6lcqu9vcd6k97g7gl5v93f,267030,1392388597532321216aevmos,ACTION_VOTE
64,evmos1zpc93cfx9s8jp44rhx6f0v709ml9j8t574ej35,267036,8593956562520112640aevmos,ACTION_EVM
65,evmos1en8zt3wtzte4p5unadcfur8kn0vt9w6acpg04z,267051,1392347014004160320aevmos,ACTION_VOTE
66,evmos1zpc93cfx9s8jp44rhx6f0v709ml9j8t574ej35,267058,8593688282560635999aevmos,ACTION_DELEGATE
67,evmos1r9fjxjuwkglk5uwhap2kx2wzr8grqwvt8h07p6,267062,1392324484984239973aevmos,ACTION_VOTE
68,evmos1hp7w7whyxkg579gpgys9sehn26wt4snwwl88gu,267067,1392311521429769701aevmos,ACTION_VOTE
69,evmos1zlt39x3v2cdvc4klyclg9uwp5q7mf0ltfy5k5k,267069,14455309131899513584aevmos,ACTION_VOTE
70,evmos1xq0w2yhcqpmrtv0w29a436nvqnkf0gj48yc88g,267080,13459842080953601588aevmos,ACTION_VOTE
71,evmos1hp7w7whyxkg579gpgys9sehn26wt4snwwl88gu,267094,1392255154346914826aevmos,ACTION_DELEGATE
72,evmos1knk3esjyx5rkyp3p24puvntghgyqa3c0hdw3az,267100,12774152120590385073aevmos,ACTION_VOTE
73,evmos1hp7w7whyxkg579gpgys9sehn26wt4snwwl88gu,267117,1392207745156776432aevmos,ACTION_EVM
74,evmos1gjmd5n2ludr4fhtt6lcqu9vcd6k97g7gl5v93f,267122,1392197857442920698aevmos,ACTION_EVM
75,evmos1yfmkxxtjewgr0ytlt04tzx4kdd5m0auuf4720q,267123,16404454161488841818aevmos,ACTION_VOTE
76,evmos1xkwlca5clpselwdd0dn4spd2gawpsl0c0rkrug,267135,15339225180972216276aevmos,ACTION_VOTE
77,evmos1gjmd5n2ludr4fhtt6lcqu9vcd6k97g7gl5v93f,267136,1392169914258488355aevmos,ACTION_DELEGATE
78,evmos1my7a32t5d2w4fdh2q0wfzgysw4z3y99qhsdxdn,267137,13877504042383171589aevmos,ACTION_VOTE
79,evmos15tldxjhhgs7rtps02swm646h9zmnqpfj4hssyh,267152,14857128831695237186aevmos,ACTION_VOTE
80,evmos13h837ldj5q8vmq8m6eujq7rn4mkk7ax2z8cpr5,267165,14805892771615010395aevmos,ACTION_VOTE
81,evmos18x9v7t48rvnjhupepkdcmmdhyggupfvqltkcfs,267171,3438561596733605203aevmos,ACTION_VOTE
82,evmos17l6yvmelfcv43pxectyazphne8l3zn7ew3amhp,267172,2394892565015284064aevmos,ACTION_DELEGATE
83,evmos1me9p0pqlssy4v073paddeeusmthdgzyjlpr2yh,267175,3615236721623269444aevmos,ACTION_VOTE
84,evmos1krfq3qucpcuhhlr3mp59czm97u9neuzvrmwwsh,267175,13558524826762628008aevmos,ACTION_VOTE
85,evmos1zlth64pejq0qjrvhg8ajsyc2tzvdgudfv2jj09,267180,4664738853942115178aevmos,ACTION_EVM
