id,recipient,height,claimed_coins,fund_community_pool_coins
1,evmos16lgzlre83u3sh6mdu6yc5hvyjt8eejcgq43lqc,273246,146250227929551701387aevmos,40611301951095113845aevmos
2,evmos199g7q4utyss49tkn88pz5c0093gkkw76x5znun,273249,283501512408389952720aevmos,78725410488314575152aevmos
3,evmos13mkynsrry2kcrqw28wat8zv4q7thhwwcymukfm,273353,310175988224615456010aevmos,86193495789550748406aevmos
4,evmos16xz0swftu499wg2aauum2pn0af6kxv3pj232rq,273948,408858099230180442844aevmos,114076129947087281444aevmos
5,evmos1mfgtad38nud33el6tcrpfq7smn4j4urykn9xdl,273948,157623418520615333023aevmos,43978753527733811297aevmos
6,evmos15avn3ahjzv5cpgez88efhzlcpelj2l0a084rn9,273948,108998307683250984612aevmos,30411786227785946204aevmos
7,evmos12wys8uq7um8wct5mafc77lcwu9qgrjsmu0rrfl,273950,508649334789712092476aevmos,141920940298698891716aevmos
8,evmos137fcj8n433krggzseqcnyxj3ql9ylhczn2rjdf,273950,46566187272593331791aevmos,12992678121920583089aevmos
9,evmos1enslpk77xh5y3ewm7uunqh9f9rffm26my2jx7r,273952,60706311808191187104aevmos,16938217857487407456aevmos
10,evmos1fx8s9fahg2w2hcxwrjma94qjl0k5mfjhfwt68d,273966,304488859737225962556aevmos,84966070200355691460aevmos
11,evmos13qkwjqr9ufs59vs58yfkx9n204rs4cxtcfls3f,273966,189769104964577910001aevmos,52954105145895841551aevmos
12,evmos10s80phajaj0vzy6yz0kyzck7st7r3qx4g8sdax,273968,179090623693350238878aevmos,49974976422547864930aevmos
13,evmos16g3cwlww7g5aq49965q20k6d5nln85t660p7f0,273985,182204813338961321747aevmos,50849960601612939245aevmos
14,evmos10xrkfnnz8nk28c88v67wrvh9un265dykdp0x54,273985,154460701135897020937aevmos,43107097026280177911aevmos
15,evmos1xe9wkuvmx4eqdaysfxm6gphn3mwj5dqezd9qhj,273985,146241819109071393963aevmos,40813360545916731733aevmos
16,evmos1v84f86mv0u6d8zsu5sq60045yg68tca8h40f97,273999,542631228287465686356aevmos,151453099618054154924aevmos
17,evmos17c3pq850p624a4c50xddzlppnykg7fpmearpdf,273999,87198617086113839470aevmos,24337893124542860434aevmos
18,evmos1rvg7fn04vvzdfk9xudj9ugvulscr88n9khdkkj,273999,143482735723988826184aevmos,40047280610182645688aevmos
19,evmos10swm3a7l0cupsglnjgh2zxgzgjl87kcyvy048k,273999,230976791070061506112aevmos,64467633124977971648aevmos
20,evmos1hhmzah5f6krf9ksg2dqsm7ccejwqzmmymrn9lx,273999,713572071913630288972aevmos,199164177176591621812aevmos
21,evmos18put7u2zv8mq2uqmjdu3ukragv430f90ng25c9,273999,143482735723988826184aevmos,40047280610182645688aevmos
22,evmos1aznnwtqnlh42x6wt9d4hgu9x6ccxsmeuknql22,274000,143482517389209698320aevmos,40047498944961773552aevmos
23,evmos1635semf8qpl76rplk9eck8srr4kcpy4sgj8llv,274049,240213631035827632184aevmos,67068074666511307464aevmos
24,evmos1xlhkc6f83dgs0haqtrvxuyapcr9h74xf4q5nc2,274051,168894613619755230658aevmos,47156293577207761470aevmos
25,evmos1t59v8zwxd8twlca6j6uc0rvp2mccp3fe4ymn4l,274052,175118628656667078281aevmos,48894412362708096375aevmos
26,evmos1tmxzt50ktzhknkd4nl9wmvkeacuz2spk0juc8z,274052,37245787297661872115aevmos,10399298446289322765aevmos
27,evmos1vs4r40fy4gteywc65m7rmrsqwp0n20xqv3yppq,274073,143467234566615724524aevmos,40062781767555747348aevmos
28,evmos1dnnpwvt6wkk29j0hz2dmuv5me5jzezz2rl22u7,274073,143467234566615724524aevmos,40062781767555747348aevmos
29,evmos1v7cq6mdwvvt2szv40z60z0tv9gs5uxe32z6l2a,274073,118066613340205074185aevmos,32969736808349220087aevmos
30,evmos1ue7nkz7l68v9877wdsyf3dryuve2v7ccr082ku,274073,232329665062891495586aevmos,64877340792556309086aevmos
31,evmos1asgjvmpemkmpntdkhyc50y9gas40jkadxy59jx,274075,146530429733616348285aevmos,40918710092299174787aevmos
32,evmos132lnphkn2ppvfkztazrz53sep4kn0w75mvla8q,274075,146222468047595639754aevmos,40832711607392485942aevmos
33,evmos1q3tgch78m4z3wwtznrwlzd689d3fhdzx8grsug,274079,408673004646880769112aevmos,114125398590711423400aevmos
34,evmos1qggm0jeuhpwhzwz92m8pr3pspvns2r70zzk0ln,274082,144843123653274488815aevmos,40449474341305309969aevmos
35,evmos1lch36v777rg3cuv40att6ea5w02af6ev94a3tm,274082,143465314522469462480aevmos,40064701811702009392aevmos
36,evmos12su98753gw0s4sdhg6l25xsjc7q06v0spadd3r,274084,144842706082090054072aevmos,40449891912489744712aevmos
37,evmos1djfv60f9zmwt8ftkujdfvnstpu5rlu3wypmhyp,274086,110461060790723532596aevmos,30848624091568280268aevmos
38,evmos1t9ejnh4rh3fdryyjhzcf8nyd9axhjrgnsquljg,274091,45118940395632036924aevmos,12600845195210292932aevmos
39,evmos1nlw4v5vlrvcdauwtl0qagmr0xz987jx4ljac3k,274091,144841246361033998634aevmos,40451351633545800150aevmos
40,evmos1xv8pkgkwf3nhn3hlw42zf4u7jk9680xegg59v5,274091,143463455087827765380aevmos,40066561246343706492aevmos
41,evmos1gnleldy9y0y5utnqjewxaxrf6nv7th0444y8m5,274096,143462388588939007144aevmos,40067627745232464728aevmos
42,evmos19jvl0tthv254qsckjdtsq2gxys3ey68xt4kfhk,274102,144838925706261085276aevmos,40453672288318713508aevmos
43,evmos1jt0kgxskjqf8y4lczm64rt9apqqsxa4nm6l8kk,274102,453196223359850350792aevmos,126578206878474238776aevmos
44,evmos1wra6gx2hqk3wpu7zupgqx3mg4axt3r5ch6yucm,274104,149332995703499169246aevmos,41709421090497644066aevmos
45,evmos1y6hx20kfqpk3fv82xv6rnu9pc2t90pwrcjtcw4,274104,35865185858498810598aevmos,10017318225044057370aevmos
46,evmos10k0hyqekf5zzhs29qwd4025lu4k0ttn0gwupar,274107,143460136883204945992aevmos,40069879450966525880aevmos
47,evmos1952kngp52u9upt356rezawf0mst9h45cq2aj5u,274107,230940411726582824564aevmos,64504012468456653196aevmos
48,evmos14fj928kezq5855g870mjgywta98xxkc2652t80,274111,230939061102036518268aevmos,64505363093002959492aevmos
49,evmos1ce5mxa35ymcewpqzjahndltqzzm2rfrgca32mn,274117,235044097855854542360aevmos,65654695337694493160aevmos
50,evmos1gtxpqyfmneayafgwgf4vvt84p3g923nl2heepr,274117,411172667788243519855aevmos,114852559503024293265aevmos
51,evmos1t59v8zwxd8twlca6j6uc0rvp2mccp3fe4ymn4l,274118,230936628767046846988aevmos,64507795427992630772aevmos
52,evmos1hjgtqwqzm70r87t6xd5we4pq9z3n2ct73pzn2e,274123,143456735834502253972aevmos,40073280499669217900aevmos
53,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274129,143455506130026435520aevmos,40074510204145036352aevmos
54,evmos1cp90em4qhedgem8fxrzwvgywkqa7e5rxuaqrf8,274129,326846292201710801261aevmos,91305000591279960723aevmos
55,evmos1hjgtqwqzm70r87t6xd5we4pq9z3n2ct73pzn2e,274130,143455292952090239912aevmos,40074723382081231960aevmos
56,evmos1qxmq6qw4hketvrqq38zajxuqnjxcetcsk2xrld,274133,108968707584955680668aevmos,30441386326081250148aevmos
57,evmos1as2qhsscdmzwh82wj470z8rg3lfn9aflssxktk,274136,143454042236013752496aevmos,40075974098157719376aevmos
58,evmos1vzprd5lpnues2el2phyl0tyjlhdu2j5h3rv7c7,274139,37241052372428786327aevmos,10404033371522408553aevmos
59,evmos15xkl8hdg6lmzew4kt2rfy6aydtpxtnewhw2m9d,274161,37239873445790371869aevmos,10405212298160823011aevmos
60,evmos12xf3vn4lvsm287822cg4eerplvgeet5e2tahyq,274166,144825484378247937279aevmos,40467113616331861505aevmos
61,evmos1f72z9d7r9ulnjy9y94ahg7l5ylcnkeh0w8jmr5,274166,144825484378247937279aevmos,40467113616331861505aevmos
62,evmos1t59v8zwxd8twlca6j6uc0rvp2mccp3fe4ymn4l,274169,143447218775883092520aevmos,40082797558288379352aevmos
63,evmos1v2jt3mkj7tvxt28rrcdd4fq4tg5t9ay340d8tg,274169,176152797988807584220aevmos,49221567356721138212aevmos
64,evmos1z5hdep5dssnx8mwzkn2vdeakg925epz6de088x,274170,143447006838446350912aevmos,40083009495725120960aevmos
